key,in X percent of dataset,Explanation
135,0.00025286847678351296, Is there a nitrogen atom connected via a non-aromatic bond to two atoms bonded by an aromatic bond? 
136,0.9628915510320195, Is there more than 1 double bonded oxygen?  
137,0.42187944495369345, Is there an aromatic carbon in a ring?  
138,0.04576919429781585, Is there a heteroatom bonded to a methylene bridge? 
139,0.9689920030344217, Is there an hydroxyl group?  
140,0.9946897619875462, Is there more than three oxygens?  
141,0.07067673926099188, Is there more than 2 methyl groups?  
142,0.28589942156335935, Is there more than one nitrogen atom?  
143,0.4030091348737238, Is there an atom connected to an oxygen atom and that sits in a ring?  
144,0.000790213989948478, Are there two atoms connected via an aromatic bond that each also are connected to at least one other atom with a non-aromatic bond?  
145,0.0035401586749691815, Is there more than one six membered ring?  
146,0.9985460062584948, Is there more than 2 oxygen atom?  
147,0.06346998767266175, Are there two methylene groups bonded together?  
148,0.7761165723677972, Is there a heteroatom bonded to three atoms?  
149,0.19474033568290294, Is there more than one methyl group?  
150,0.4711255808072826, Is there a bond between two atoms that each have a ring bond?  
152,0.9741125896892878, Is there a carbon atom bonded to two carbon atoms and one oxygen atom?  
153,0.36653285709770206, Is there a methylene bridge bonded to a heteroatom?  
154,0.977178619970288, Is there at least one carbonyl group?  
155,0.4812719284382211, Is there a methylene bridge connected by to non-ring bonds?  
156,0.15289060277523153," Is there an atom bonded to three atoms, one of which is a nitrogen?  "
157,0.9983247463413092, Is there a single bond between a oxygen and carbon?  
158,0.15292221133482947, Is there a single bond between a nitrogen and carbon?  
159,0.9998419572020103, Are there more than one oxygen atoms?  
160,0.5039984827891393, Is there a methyl group?  
161,0.7761165723677972, Is there a nitrogen atom?  
162,0.0009482567879381737, Is the molecule aromatic?  
163,0.06590384676170306, Is there a six membered ring?  
164,0.9999683914404021, Is there a oxygen atom ?  
165,0.4722634889528084, Does the molecule have a ring fragment?  
